tipo,ordem,fc,fase_zero,rp,rs,rmse
ellip,3,1100,True,0.5,50.0,0.37228171008598343
cheby1,3,1200,True,0.5,40.0,0.3722959669790331
cheby2,8,1900,True,0.5,50.0,0.37252996335670957
ellip,3,1300,True,0.5,50.0,0.3726930988069104
cheby2,3,2800,True,0.5,60.0,0.373056065260375
ellip,3,1100,True,0.5,60.0,0.37313116323656786
cheby1,1,800,True,0.5,40.0,0.3733650257940422
ellip,1,800,True,0.5,40.0,0.37336502579404235
ellip,1,800,True,0.5,30.0,0.37336502579404235
ellip,1,800,True,0.5,50.0,0.37336502579404235
ellip,1,800,True,0.5,60.0,0.37336502579404235
cheby2,5,2400,True,0.5,50.0,0.37340366312326617
ellip,3,1400,True,0.5,30.0,0.3734073809035554
ellip,7,1500,True,0.1,40.0,0.3735067681297604
ellip,3,1300,True,0.5,60.0,0.3735731023586449
ellip,1,700,True,1.0,50.0,0.3736446508439436
ellip,1,700,True,1.0,40.0,0.3736446508439436
ellip,1,700,True,1.0,30.0,0.3736446508439436
ellip,1,700,True,1.0,60.0,0.3736446508439436
cheby1,1,700,True,1.0,40.0,0.3736446508439444
cheby2,5,1400,True,0.5,50.0,0.37384662973777777
cheby1,3,1100,True,0.5,40.0,0.3738893614826805
cheby2,2,2400,True,0.5,30.0,0.3740134947388169
cheby2,3,2900,True,0.5,40.0,0.374092655654823
cheby1,3,1300,True,0.5,40.0,0.37434824566877795
butter,1,1900,True,0.5,40.0,0.37435605560644186
butter,6,1600,True,0.5,40.0,0.37443591513464225
cheby2,8,1700,True,0.5,30.0,0.37449758331390526
cheby2,6,2000,True,0.5,40.0,0.3746695749829035
cheby2,8,1800,True,0.5,40.0,0.37471561069116704
ellip,3,1300,True,0.1,30.0,0.3752554722825807
ellip,7,1500,True,0.1,50.0,0.3753485949711914
ellip,3,1000,True,0.5,40.0,0.37557312028880707
butter,3,1700,True,0.5,40.0,0.3756258779441362
cheby2,6,1200,True,0.5,50.0,0.37565938295215057
butter,7,1600,True,0.5,40.0,0.3761739740988886
cheby2,4,2200,True,0.5,30.0,0.3765754673603454
ellip,5,1400,True,0.5,30.0,0.3767235458058932
ellip,3,1400,True,0.5,40.0,0.37684657835705093
ellip,7,1500,True,0.1,60.0,0.37691168525876645
cheby2,5,2200,True,0.5,40.0,0.3769681981154293
cheby2,6,2200,True,0.5,50.0,0.377209745873723
cheby2,7,1900,True,0.5,40.0,0.3773619941787834
cheby2,7,2200,True,0.5,60.0,0.37736661878122896
ellip,3,1000,True,0.5,50.0,0.3773747901324993
